#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C1198	1
RL|S1|C3912	1
RL|S1|C10907	1
RL|S1|C13963	1
RL|S1|C14639	1
RL|S1|C15554	1
RL|S1|C131	10
RL|S1|C1410	10
RL|S1|C2929	10
RL|S1|C3754	10
RL|S1|C4624	10
RL|S1|C5025	10
RL|S1|C5166	10
RL|S1|C5363	10
RL|S1|C5630	10
RL|S1|C6512	10
RL|S1|C6681	10
RL|S1|C7651	10
RL|S1|C8009	10
RL|S1|C8049	10
RL|S1|C9043	10
RL|S1|C9273	10
RL|S1|C10237	10
RL|S1|C11486	10
RL|S1|C11816	10
RL|S1|C12476	10
RL|S1|C12865	10
RL|S1|C13000	10
RL|S1|C13955	10
RL|S1|C14002	10
RL|S1|C15078	10
RL|S1|C16400	10
RL|S1|C18539	10
RL|S1|C19102	10
RL|S1|C19311	10
RL|S1|C19	11
RL|S1|C21	11
RL|S1|C39	11
RL|S1|C70	11
RL|S1|C81	11
RL|S1|C95	11
RL|S1|C101	11
RL|S1|C109	11
RL|S1|C137	11
RL|S1|C140	11
RL|S1|C144	11
RL|S1|C172	11
RL|S1|C193	11
RL|S1|C256	11
RL|S1|C309	11
RL|S1|C333	11
RL|S1|C341	11
RL|S1|C422	11
RL|S1|C464	11
RL|S1|C476	11
RL|S1|C486	11
RL|S1|C503	11
RL|S1|C512	11
RL|S1|C531	11
RL|S1|C567	11
RL|S1|C574	11
RL|S1|C581	11
RL|S1|C585	11
RL|S1|C616	11
RL|S1|C623	11
RL|S1|C638	11
RL|S1|C653	11
RL|S1|C718	11
RL|S1|C721	11
RL|S1|C745	11
RL|S1|C770	11
RL|S1|C778	11
RL|S1|C835	11
RL|S1|C851	11
RL|S1|C865	11
RL|S1|C882	11
RL|S1|C906	11
RL|S1|C939	11
RL|S1|C1023	11
RL|S1|C1046	11
RL|S1|C1130	11
RL|S1|C1143	11
RL|S1|C1163	11
RL|S1|C1170	11
RL|S1|C1177	11
RL|S1|C1257	11
RL|S1|C1284	11
RL|S1|C1306	11
RL|S1|C1330	11
RL|S1|C1335	11
RL|S1|C1344	11
RL|S1|C1352	11
RL|S1|C1371	11
RL|S1|C1382	11
RL|S1|C1400	11
RL|S1|C1430	11
RL|S1|C1441	11
RL|S1|C1459	11
RL|S1|C1527	11
RL|S1|C1550	11
RL|S1|C1556	11
RL|S1|C1590	11
RL|S1|C1646	11
RL|S1|C1650	11
RL|S1|C1698	11
RL|S1|C1699	11
RL|S1|C1741	11
RL|S1|C1769	11
RL|S1|C1796	11
RL|S1|C1798	11
RL|S1|C1842	11
RL|S1|C1871	11
RL|S1|C1889	11
RL|S1|C1900	11
RL|S1|C1909	11
RL|S1|C1943	11
RL|S1|C1955	11
RL|S1|C1956	11
RL|S1|C1975	11
RL|S1|C1989	11
RL|S1|C1990	11
RL|S1|C2041	11
RL|S1|C2051	11
RL|S1|C2064	11
RL|S1|C2096	11
RL|S1|C2127	11
RL|S1|C2128	11
RL|S1|C2133	11
RL|S1|C2223	11
RL|S1|C2241	11
RL|S1|C2263	11
RL|S1|C2300	11
RL|S1|C2360	11
RL|S1|C2381	11
RL|S1|C2409	11
RL|S1|C2433	11
RL|S1|C2441	11
RL|S1|C2460	11
RL|S1|C2476	11
RL|S1|C2494	11
RL|S1|C2495	11
RL|S1|C2507	11
RL|S1|C2546	11
RL|S1|C2568	11
RL|S1|C2570	11
RL|S1|C2587	11
RL|S1|C2592	11
RL|S1|C2654	11
RL|S1|C2655	11
RL|S1|C2661	11
RL|S1|C2663	11
RL|S1|C2693	11
RL|S1|C2710	11
RL|S1|C2766	11
RL|S1|C2769	11
RL|S1|C2783	11
RL|S1|C2788	11
RL|S1|C2800	11
RL|S1|C2836	11
RL|S1|C2869	11
RL|S1|C2938	11
RL|S1|C2939	11
RL|S1|C2945	11
RL|S1|C2982	11
RL|S1|C2988	11
RL|S1|C3001	11
RL|S1|C3040	11
RL|S1|C3071	11
RL|S1|C3109	11
RL|S1|C3115	11
RL|S1|C3117	11
RL|S1|C3137	11
RL|S1|C3209	11
RL|S1|C3223	11
RL|S1|C3255	11
RL|S1|C3269	11
RL|S1|C3274	11
RL|S1|C3283	11
RL|S1|C3284	11
RL|S1|C3302	11
RL|S1|C3331	11
RL|S1|C3341	11
RL|S1|C3364	11
RL|S1|C3377	11
RL|S1|C3385	11
RL|S1|C3398	11
RL|S1|C3449	11
RL|S1|C3454	11
RL|S1|C3456	11
RL|S1|C3480	11
RL|S1|C3524	11
RL|S1|C3536	11
RL|S1|C3555	11
RL|S1|C3559	11
RL|S1|C3579	11
RL|S1|C3625	11
RL|S1|C3657	11
RL|S1|C3688	11
RL|S1|C3695	11
RL|S1|C3697	11
RL|S1|C3752	11
RL|S1|C3769	11
RL|S1|C3777	11
RL|S1|C3783	11
RL|S1|C3792	11
RL|S1|C3858	11
RL|S1|C3875	11
RL|S1|C3939	11
RL|S1|C3956	11
RL|S1|C4006	11
RL|S1|C4084	11
RL|S1|C4109	11
RL|S1|C4156	11
RL|S1|C4186	11
RL|S1|C4221	11
RL|S1|C4237	11
RL|S1|C4243	11
RL|S1|C4272	11
RL|S1|C4306	11
RL|S1|C4381	11
RL|S1|C4400	11
RL|S1|C4410	11
RL|S1|C4412	11
RL|S1|C4462	11
RL|S1|C4522	11
RL|S1|C4551	11
RL|S1|C4561	11
RL|S1|C4609	11
RL|S1|C4635	11
RL|S1|C4636	11
RL|S1|C4660	11
RL|S1|C4688	11
RL|S1|C4693	11
RL|S1|C4803	11
RL|S1|C4831	11
RL|S1|C4847	11
RL|S1|C4877	11
RL|S1|C4902	11
RL|S1|C4903	11
RL|S1|C4920	11
RL|S1|C4949	11
RL|S1|C4993	11
RL|S1|C4994	11
RL|S1|C5002	11
RL|S1|C5086	11
RL|S1|C5138	11
RL|S1|C5152	11
RL|S1|C5156	11
RL|S1|C5171	11
RL|S1|C5209	11
RL|S1|C5235	11
RL|S1|C5290	11
RL|S1|C5370	11
RL|S1|C5377	11
RL|S1|C5426	11
RL|S1|C5427	11
RL|S1|C5428	11
RL|S1|C5503	11
RL|S1|C5522	11
RL|S1|C5578	11
RL|S1|C5581	11
RL|S1|C5586	11
RL|S1|C5613	11
RL|S1|C5704	11
RL|S1|C5740	11
RL|S1|C5749	11
RL|S1|C5800	11
RL|S1|C5830	11
RL|S1|C5873	11
RL|S1|C5887	11
RL|S1|C5892	11
RL|S1|C5903	11
RL|S1|C5905	11
RL|S1|C5928	11
RL|S1|C5984	11
RL|S1|C5988	11
RL|S1|C5994	11
RL|S1|C6002	11
RL|S1|C6006	11
RL|S1|C6014	11
RL|S1|C6082	11
RL|S1|C6084	11
RL|S1|C6166	11
RL|S1|C6189	11
RL|S1|C6217	11
RL|S1|C6258	11
RL|S1|C6266	11
RL|S1|C6268	11
RL|S1|C6272	11
RL|S1|C6275	11
RL|S1|C6293	11
RL|S1|C6302	11
RL|S1|C6334	11
RL|S1|C6376	11
RL|S1|C6384	11
RL|S1|C6432	11
RL|S1|C6436	11
RL|S1|C6444	11
RL|S1|C6464	11
RL|S1|C6474	11
RL|S1|C6554	11
RL|S1|C6572	11
RL|S1|C6600	11
RL|S1|C6610	11
RL|S1|C6625	11
RL|S1|C6641	11
RL|S1|C6686	11
RL|S1|C6734	11
RL|S1|C6801	11
RL|S1|C6817	11
RL|S1|C6819	11
RL|S1|C6857	11
RL|S1|C6870	11
RL|S1|C6876	11
RL|S1|C6936	11
RL|S1|C6945	11
RL|S1|C6952	11
RL|S1|C6990	11
RL|S1|C6992	11
RL|S1|C7038	11
RL|S1|C7048	11
RL|S1|C7067	11
RL|S1|C7109	11
RL|S1|C7196	11
RL|S1|C7246	11
RL|S1|C7254	11
RL|S1|C7284	11
RL|S1|C7305	11
RL|S1|C7343	11
RL|S1|C7353	11
RL|S1|C7372	11
RL|S1|C7391	11
RL|S1|C7456	11
RL|S1|C7535	11
RL|S1|C7537	11
RL|S1|C7555	11
RL|S1|C7593	11
RL|S1|C7594	11
RL|S1|C7604	11
RL|S1|C7623	11
RL|S1|C7659	11
RL|S1|C7662	11
RL|S1|C7740	11
RL|S1|C7773	11
RL|S1|C7780	11
RL|S1|C7782	11
RL|S1|C7786	11
RL|S1|C7796	11
RL|S1|C7812	11
RL|S1|C7815	11
RL|S1|C7818	11
RL|S1|C7834	11
RL|S1|C7836	11
RL|S1|C7848	11
RL|S1|C7855	11
RL|S1|C7867	11
RL|S1|C7877	11
RL|S1|C7892	11
RL|S1|C7898	11
RL|S1|C7915	11
RL|S1|C7938	11
RL|S1|C7940	11
RL|S1|C7946	11
RL|S1|C7971	11
