gtdb_taxonomy	ncbi_taxonomy	lca_frac	target_tax_level	lineage
s__Anaerosporobacter mobilis	s__Anaerosporobacter mobilis	1.0	species	d__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__lachnospiraceae;g__anaerosporobacter;s__anaerosporobacter mobilis
s__Anaerobranca californiensis	s__Anaerobranca californiensis	1.0	species	d__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__proteinivoraceae;g__anaerobranca;s__anaerobranca californiensis
s__Albidovulum denitrificans	s__Defluviimonas denitrificans	1.0	species	d__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodobacterales;f__rhodobacteraceae;g__defluviimonas;s__defluviimonas denitrificans
s__Exiguobacterium_A sp001423965	g__Exiguobacterium	1.0	genus	d__bacteria;p__firmicutes;c__bacilli;o__bacillales;xf__rs_gcf_000620825.1;g__exiguobacterium
s__Anaeroplasma bactoclasticum	s__Anaeroplasma bactoclasticum	1.0	species	d__bacteria;p__tenericutes;c__mollicutes;o__anaeroplasmatales;f__anaeroplasmataceae;g__anaeroplasma;s__anaeroplasma bactoclasticum
s__Hydrotalea sandarakina	s__Hydrotalea sandarakina	1.0	species	d__bacteria;p__bacteroidetes;c__chitinophagia;o__chitinophagales;f__chitinophagaceae;g__hydrotalea;s__hydrotalea sandarakina
s__Nonlabens dokdonensis	s__Nonlabens dokdonensis	1.0	species	d__bacteria;p__bacteroidetes;c__flavobacteriia;o__flavobacteriales;f__flavobacteriaceae;g__nonlabens;s__nonlabens dokdonensis
Unclassified Bacteria	unclassified	NA	NA	NA
s__Pseudoduganella sp001425045	g__Massilia	1.0	genus	d__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__oxalobacteraceae;g__massilia
s__	unclassified	NA	NA	NA
s__Desulfatibacillum alkenivorans	s__Desulfatibacillum alkenivorans	1.0	species	d__bacteria;p__proteobacteria;c__deltaproteobacteria;o__desulfobacterales;f__desulfobacteraceae;g__desulfatibacillum;s__desulfatibacillum alkenivorans
s__Andreprevotia lacus	s__Andreprevotia lacus	1.0	species	d__bacteria;p__proteobacteria;c__betaproteobacteria;o__neisseriales;f__chromobacteriaceae;g__andreprevotia;s__andreprevotia lacus
s__Paracoccus denitrificans	s__Paracoccus denitrificans	0.9	species	d__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodobacterales;f__rhodobacteraceae;g__paracoccus;s__paracoccus denitrificans
s__Flavisolibacter ginsengisoli	s__Flavisolibacter ginsengisoli	1.0	species	d__bacteria;p__bacteroidetes;c__chitinophagia;o__chitinophagales;f__chitinophagaceae;g__flavisolibacter;s__flavisolibacter ginsengisoli
s__Meinhardsimonia xiamenensis	s__Meinhardsimonia xiamenensis	1.0	species	d__bacteria;p__proteobacteria;c__alphaproteobacteria;o__rhodobacterales;f__rhodobacteraceae;g__meinhardsimonia;s__meinhardsimonia xiamenensis
s__Paramaledivibacter caminithermalis	s__Paramaledivibacter caminithermalis	1.0	species	d__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__clostridiaceae;g__paramaledivibacter;s__paramaledivibacter caminithermalis
s__Pseudomonas aeruginosa	s__Pseudomonas aeruginosa	0.97	species	d__bacteria;p__proteobacteria;c__gammaproteobacteria;o__pseudomonadales;f__pseudomonadaceae;g__pseudomonas;s__pseudomonas aeruginosa
s__Lampropedia hyalina	s__Lampropedia hyalina	1.0	species	d__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__comamonadaceae;g__lampropedia;s__lampropedia hyalina
s__Pseudoduganella sp001425265	g__Massilia	1.0	genus	d__bacteria;p__proteobacteria;c__betaproteobacteria;o__burkholderiales;f__oxalobacteraceae;g__massilia
s__Thermosporothrix hazakensis	unclassified	NA	NA	NA
s__Williamsia_A herbipolensis	g__Williamsia	1.0	genus	d__bacteria;p__actinobacteria;c__actinomycetia;o__corynebacteriales;f__nocardiaceae;g__williamsia
s__Phycicoccus sp001428065	g__Tetrasphaera	1.0	genus	d__bacteria;p__actinobacteria;c__actinomycetia;o__micrococcales;f__intrasporangiaceae;g__tetrasphaera
s__Xylella fastidiosa	s__Xylella fastidiosa	1.0	species	d__bacteria;p__proteobacteria;c__gammaproteobacteria;o__xanthomonadales;f__xanthomonadaceae;g__xylella;s__xylella fastidiosa
s__Schwartzia succinivorans	g__Schwartzia	1.0	genus	d__bacteria;p__firmicutes;c__negativicutes;o__selenomonadales;f__selenomonadaceae;g__schwartzia
s__Tepidibacter formicigenes	s__Tepidibacter formicigenes	1.0	species	d__bacteria;p__firmicutes;c__clostridia;o__eubacteriales;f__peptostreptococcaceae;g__tepidibacter;s__tepidibacter formicigenes
