Anaerosporobacter mobilis	264463
Anaerobranca californiensis	182411
Defluviimonas denitrificans	404881
Exiguobacterium	33986
Anaeroplasma bactoclasticum	2088
Hydrotalea sandarakina	1004304
Nonlabens dokdonensis	328515
unclassified	12908
Massilia	149698
unclassified	12908
Desulfatibacillum alkenivorans	259354
Andreprevotia lacus	1121000
Paracoccus denitrificans	266
Flavisolibacter ginsengisoli	462367
Meinhardsimonia xiamenensis	990712
Paramaledivibacter caminithermalis	191027
Pseudomonas aeruginosa	287
Lampropedia hyalina	198706
Massilia	149698
unclassified	12908
Williamsia	85043
Tetrasphaera	12908
Xylella fastidiosa	2371
Schwartzia	55506
Schwartzia	164984
Tepidibacter formicigenes	227138
