user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
CONCOCT_1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	GCF_001457615.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	100.0	1.0	GCF_001457615.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	100.0	1.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000017205.1, s__Pseudomonas aeruginosa_A, 95.0, 94.09, 0.898; GCF_900187975.1, s__Pseudomonas delhiensis, 95.078, 84.75, 0.658; GCF_900103845.1, s__Pseudomonas jinjuensis, 95.0, 84.72, 0.588; GCF_900112375.1, s__Pseudomonas citronellolis, 95.078, 84.67, 0.657; GCF_017589465.1, s__Pseudomonas sp017589465, 95.0, 84.2, 0.608; GCF_000349845.1, s__Pseudomonas sp000349845, 95.0, 84.01, 0.656; GCF_017491605.1, s__Pseudomonas sp017491605, 95.0, 83.97, 0.611; GCF_014204515.1, s__Pseudomonas nitritireducens_A, 95.0, 83.92, 0.641; GCA_002452115.1, s__Pseudomonas nitroreducens_B, 95.0, 83.87, 0.623; GCF_000689415.1, s__Pseudomonas knackmussii, 95.0, 83.86, 0.58; GCF_900099785.1, s__Pseudomonas panipatensis, 95.0, 83.83, 0.611; GCF_000955805.1, s__Pseudomonas sp000955805, 95.0, 83.75, 0.627; GCF_008807415.1, s__Pseudomonas sp002079985, 95.0, 83.72, 0.632; GCF_009189165.1, s__Pseudomonas sp009189165, 95.0, 83.67, 0.585; GCF_002091755.1, s__Pseudomonas nitroreducens, 95.0, 83.58, 0.621; GCA_002796985.1, s__Pseudomonas sp002796985, 95.0, 83.47, 0.604; GCF_014852585.1, s__Pseudomonas sp014852585, 95.0, 83.43, 0.609; GCF_000313755.1, s__Pseudomonas nitroreducens_A, 95.0, 83.41, 0.611; GCF_005877905.1, s__Pseudomonas nicosulfuronedens, 95.0, 83.39, 0.613; GCF_016919445.1, s__Pseudomonas sp016919445, 95.0, 83.39, 0.615	96.15	11	N/A	N/A
CONCOCT_12	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__Pseudoduganella sp001425045	GCF_001425045.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__Pseudoduganella sp001425045	100.0	1.0	GCF_001425045.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__Pseudoduganella sp001425045	100.0	1.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001425265.1, s__Pseudoduganella sp001425265, 95.0, 90.2, 0.927; GCF_003053665.1, s__Pseudoduganella sp003053665, 95.0, 90.07, 0.887; GCF_009857595.1, s__Pseudoduganella aquatica_A, 95.0, 88.94, 0.85; GCF_900116645.1, s__Pseudoduganella namucuonensis, 95.0, 85.48, 0.78; GCF_014191875.1, s__Pseudoduganella violacea, 95.0, 82.32, 0.606; GCF_001191005.1, s__Pseudoduganella sp001191005, 95.0, 82.21, 0.618; GCF_013369485.1, s__Pseudoduganella sp013369485, 95.0, 82.19, 0.606; GCA_008011715.1, s__Pseudoduganella haloabium, 95.0, 81.62, 0.626; GCF_009674485.1, s__Pseudoduganella sp009674485, 95.0, 81.6, 0.693; GCF_009720835.1, s__Pseudoduganella buxea, 95.0, 81.54, 0.6; GCF_003028855.1, s__Pseudoduganella armeniaca, 95.0, 81.54, 0.623; GCF_009857475.1, s__Pseudoduganella guangdongensis, 95.0, 81.45, 0.587; GCF_000425385.1, s__Pseudoduganella violaceinigra, 95.0, 81.41, 0.531; GCF_007830455.1, s__Pseudoduganella lurida, 95.0, 81.26, 0.579; GCF_004217275.1, s__Pseudoduganella sp004217275, 95.0, 81.19, 0.56; GCF_900113115.1, s__Pseudoduganella sp900113115, 95.0, 81.16, 0.551; GCA_002454505.1, s__Pseudoduganella sp002454505, 95.0, 81.14, 0.581; GCF_009720745.1, s__Pseudoduganella eburnea, 95.0, 81.1, 0.561; GCF_001425005.1, s__Pseudoduganella sp001425005, 95.0, 81.05, 0.566; GCF_014192225.1, s__Pseudoduganella umbonata, 95.0, 81.02, 0.604; GCF_009727155.1, s__Pseudoduganella dura, 95.0, 80.99, 0.602; GCF_004322755.1, s__Pseudoduganella albidiflava, 95.0, 80.95, 0.632; GCF_001427305.1, s__Pseudoduganella sp001427305, 95.0, 80.91, 0.569; GCF_004421005.1, s__Pseudoduganella plicata, 95.0, 80.87, 0.559; GCF_004209755.1, s__Pseudoduganella lutea, 95.0, 80.76, 0.572; GCF_007830495.1, s__Pseudoduganella flava, 95.0, 80.64, 0.619; GCF_009720865.1, s__Pseudoduganella ginsengisoli, 95.0, 80.59, 0.558	62.23	11	N/A	N/A
CONCOCT_18	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__Pseudoduganella sp001425265	GCF_001425265.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__Pseudoduganella sp001425265	100.0	1.0	GCF_001425265.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__Pseudoduganella sp001425265	100.0	1.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003053665.1, s__Pseudoduganella sp003053665, 95.0, 90.84, 0.869; GCF_001425045.1, s__Pseudoduganella sp001425045, 95.0, 90.62, 0.862; GCF_009857595.1, s__Pseudoduganella aquatica_A, 95.0, 89.76, 0.816; GCF_900116645.1, s__Pseudoduganella namucuonensis, 95.0, 85.71, 0.687; GCF_001191005.1, s__Pseudoduganella sp001191005, 95.0, 82.78, 0.594; GCF_014191875.1, s__Pseudoduganella violacea, 95.0, 82.73, 0.596; GCF_013369485.1, s__Pseudoduganella sp013369485, 95.0, 82.68, 0.587; GCA_008011715.1, s__Pseudoduganella haloabium, 95.0, 82.19, 0.58; GCF_009720835.1, s__Pseudoduganella buxea, 95.0, 82.1, 0.601; GCF_009857475.1, s__Pseudoduganella guangdongensis, 95.0, 82.08, 0.637; GCF_003028855.1, s__Pseudoduganella armeniaca, 95.0, 82.04, 0.602; GCF_009674485.1, s__Pseudoduganella sp009674485, 95.0, 81.96, 0.594; GCF_000425385.1, s__Pseudoduganella violaceinigra, 95.0, 81.81, 0.555; GCF_007830455.1, s__Pseudoduganella lurida, 95.0, 81.77, 0.587; GCF_004217275.1, s__Pseudoduganella sp004217275, 95.0, 81.75, 0.549; GCA_002454505.1, s__Pseudoduganella sp002454505, 95.0, 81.71, 0.592; GCF_009720745.1, s__Pseudoduganella eburnea, 95.0, 81.62, 0.569; GCF_001425005.1, s__Pseudoduganella sp001425005, 95.0, 81.59, 0.543; GCF_900113115.1, s__Pseudoduganella sp900113115, 95.0, 81.54, 0.555; GCF_001427305.1, s__Pseudoduganella sp001427305, 95.0, 81.37, 0.543; GCF_004322755.1, s__Pseudoduganella albidiflava, 95.0, 81.34, 0.548; GCF_014192225.1, s__Pseudoduganella umbonata, 95.0, 81.26, 0.526; GCF_009727155.1, s__Pseudoduganella dura, 95.0, 81.26, 0.541; GCF_004421005.1, s__Pseudoduganella plicata, 95.0, 81.21, 0.58; GCF_007830495.1, s__Pseudoduganella flava, 95.0, 81.1, 0.56; GCF_004209755.1, s__Pseudoduganella lutea, 95.0, 80.91, 0.515; GCF_009720865.1, s__Pseudoduganella ginsengisoli, 95.0, 80.7, 0.522	97.2	11	N/A	N/A
CONCOCT_19	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_014489475.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter solisilvae	87.26	0.807	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_001427225.1, s__Lysobacter sp001427225, 95.0, 84.17, 0.724; GCF_016613535.2, s__Lysobacter solisilvae_A, 95.0, 83.04, 0.688; GCF_003814555.1, s__Lysobacter tengchongensis, 95.0, 82.75, 0.62; GCF_009765165.1, s__Lysobacter panacisoli, 95.0, 82.49, 0.638; GCF_003586305.1, s__Lysobacter tabacisoli, 95.0, 82.46, 0.659; GCF_016613475.2, s__Lysobacter arenosi, 95.0, 82.42, 0.642; GCF_009765215.1, s__Lysobacter prati, 95.0, 82.29, 0.619; GCF_015453285.1, s__Lysobacter niastensis, 95.0, 82.19, 0.657; GCF_016735495.2, s__Lysobacter sp016735495, 95.0, 82.19, 0.645; GCF_017308985.1, s__Lysobacter sp017308985, 95.0, 82.19, 0.637; GCF_003382365.1, s__Lysobacter silvisoli, 95.0, 82.19, 0.662; GCF_900114355.1, s__Lysobacter sp900114355, 95.0, 82.16, 0.665; GCF_000768335.1, s__Lysobacter arseniciresistens, 95.0, 82.07, 0.581; GCF_003382285.1, s__Lysobacter soli, 95.0, 82.02, 0.64; GCF_001428685.1, s__Lysobacter sp001428685, 95.0, 81.97, 0.681; GCA_013361435.1, s__Lysobacter sp013361435, 95.0, 81.94, 0.583; GCF_900107375.1, s__Lysobacter sp900107375, 95.0, 81.93, 0.69; GCF_001429785.1, s__Lysobacter sp001429785, 95.0, 81.92, 0.666; GCF_007923255.1, s__Lysobacter thermophilus, 95.0, 81.87, 0.601; GCA_005503055.1, s__Lysobacter sp005503055, 95.0, 81.8, 0.627; GCF_001442515.1, s__Lysobacter enzymogenes_B, 95.0, 81.79, 0.711; GCF_000336385.2, s__Lysobacter antibioticus_A, 95.0, 81.79, 0.633; GCF_017355525.1, s__Lysobacter enzymogenes_C, 95.0, 81.78, 0.673; GCF_000768355.1, s__Lysobacter daejeonensis, 95.0, 81.73, 0.567; GCF_007830115.1, s__Lysobacter ruishenii, 95.0, 81.68, 0.555; GCF_018847975.1, s__Lysobacter sp018847975, 95.0, 81.67, 0.673; GCF_900106525.1, s__Lysobacter enzymogenes, 95.0, 81.61, 0.684; GCF_001442535.1, s__Lysobacter antibioticus, 95.0, 81.51, 0.634; GCF_000731095.1, s__Lysobacter antibioticus_B, 95.0, 81.5, 0.618; GCF_014651995.1, s__Lysobacter xinjiangensis, 95.0, 81.44, 0.573; GCF_006546735.2, s__Lysobacter maris, 95.0, 81.44, 0.539; GCF_003719825.1, s__Lysobacter psychrotolerans, 95.0, 81.43, 0.605; GCF_014779555.1, s__Lysobacter capsici, 95.0, 81.33, 0.642; GCF_907164845.1, s__Lysobacter sp907164845, 95.0, 81.3, 0.605; GCF_001442805.1, s__Lysobacter gummosus, 95.0, 81.29, 0.644; GCF_018732085.1, s__Lysobacter capsici_A, 95.0, 81.25, 0.669; GCF_018612875.1, s__Lysobacter sp018612875, 95.0, 81.25, 0.607; GCF_001427785.1, s__Lysobacter sp001427785, 95.0, 81.23, 0.622; GCA_001830245.1, s__Lysobacter sp001830245, 95.0, 81.22, 0.585; GCF_014145325.1, s__Lysobacter spongiae, 95.0, 81.18, 0.553; GCF_004359965.1, s__Lysobacter segetis, 95.0, 81.17, 0.603; GCF_006546775.1, s__Lysobacter aestuarii, 95.0, 81.15, 0.543; GCF_006547045.1, s__Lysobacter alkalisoli, 95.0, 81.06, 0.568; GCF_014145395.1, s__Lysobacter penaei, 95.0, 80.91, 0.511; GCF_000768345.1, s__Lysobacter concretionis, 95.0, 80.87, 0.544; GCF_004361065.1, s__Lysobacter terrigena, 95.0, 80.71, 0.533; GCF_003367355.1, s__Lysobacter sp003367355, 95.0, 80.67, 0.533; GCF_000423325.1, s__Lysobacter defluvii, 95.0, 80.53, 0.543; GCF_000426005.1, s__Lysobacter sp000426005, 95.0, 80.52, 0.514; GCF_014652095.1, s__Lysobacter bugurensis, 95.0, 80.39, 0.518; GCF_015209725.1, s__Lysobacter sp015209725, 95.0, 80.38, 0.507; GCF_900167055.1, s__Lysobacter spongiicola, 95.0, 80.35, 0.519; GCF_008274655.1, s__Lysobacter lacus, 95.0, 80.16, 0.551; GCF_015209765.1, s__Lysobacter sp015209765, 95.0, 80.08, 0.507; GCA_004322525.1, s__Lysobacter sp004322525, 95.0, 79.9, 0.556; GCA_902805755.1, s__Lysobacter sp902805755, 95.0, 79.86, 0.558; GCF_000855665.1, s__Lysobacter sp000855665, 95.0, 79.69, 0.488	98.51	11	0.98427	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
CONCOCT_21	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Tepidibacter;s__Tepidibacter formicigenes	GCF_900142235.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Tepidibacter;s__Tepidibacter formicigenes	100.0	0.999	GCF_900142235.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Tepidibacter;s__Tepidibacter formicigenes	100.0	0.999	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Tepidibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900129915.1, s__Tepidibacter thalassicus, 95.0, 86.84, 0.754	92.73	11	N/A	N/A
CONCOCT_22	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Schwartzia;s__Schwartzia succinivorans	GCF_900129225.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Schwartzia;s__Schwartzia succinivorans	100.0	1.0	GCF_900129225.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Schwartzia;s__Schwartzia succinivorans	100.0	1.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.9	11	N/A	N/A
CONCOCT_3_sub	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__Hydrotalea sandarakina	GCF_003254115.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__Hydrotalea sandarakina	98.35	0.837	GCF_003254115.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__Hydrotalea sandarakina	98.35	0.837	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_011362875.1, s__Hydrotalea flava_A, 95.0, 93.12, 0.802; GCA_001623405.1, s__Hydrotalea flava, 95.0, 78.62, 0.454	46.33	11	N/A	Genome has more than 25.8% of markers with multiple hits
CONCOCT_5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Williamsia_A;s__Williamsia_A herbipolensis	GCF_000964005.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Williamsia_A;s__Williamsia_A herbipolensis	95.01	0.891	GCF_000964005.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Williamsia_A;s__Williamsia_A herbipolensis	95.01	0.891	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Williamsia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014635305.1, s__Williamsia_A phyllosphaerae, 95.0, 82.43, 0.702; GCA_016462415.1, s__Williamsia_A sp016462415, 95.0, 82.15, 0.649; GCF_018474015.1, s__Williamsia_A sp018474015, 95.0, 80.23, 0.523	96.49	11	N/A	N/A
MetaBAT2_12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter ginsengisoli	GCF_900129295.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter ginsengisoli	100.0	0.999	GCF_900129295.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__Flavisolibacter ginsengisoli	100.0	0.999	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017745135.1, s__Flavisolibacter sp017745135, 95.0, 77.32, 0.1; GCA_013327885.1, s__Flavisolibacter sp013327885, 95.0, 77.25, 0.081; GCF_007970805.1, s__Flavisolibacter ginsenosidimutans, 95.0, 76.92, 0.056; GCF_003628535.1, s__Flavisolibacter nicotianae, 95.0, 76.88, 0.08; GCA_014163555.1, s__Flavisolibacter sp014163555, 95.0, 76.86, 0.077; GCA_002050435.1, s__Flavisolibacter sp002050435, 95.0, 76.62, 0.139	97.8	11	N/A	N/A
MetaBAT2_2	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	99.23	0.971	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	99.23	0.971	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000702605.1, s__Exiguobacterium_A acetylicum, 95.0, 90.41, 0.883; GCF_001939065.1, s__Exiguobacterium_A indicum, 95.0, 90.37, 0.852; GCF_001275385.1, s__Exiguobacterium_A sp001275385, 95.0, 88.8, 0.834; GCF_018618755.1, s__Exiguobacterium_A sp018618755, 95.0, 80.82, 0.518; GCA_902363455.1, s__Exiguobacterium_A sp902363455, 95.0, 80.82, 0.478; GCF_000702625.1, s__Exiguobacterium_A oxidotolerans, 95.0, 80.81, 0.511; GCF_000620865.1, s__Exiguobacterium_A sibiricum_A, 95.0, 80.77, 0.523; GCF_000620805.1, s__Exiguobacterium_A undae, 95.0, 80.74, 0.5; GCF_003339585.1, s__Exiguobacterium_A sp003339585, 95.0, 80.63, 0.504; GCF_000019905.1, s__Exiguobacterium_A sibiricum, 95.0, 80.61, 0.502; GCF_000685865.1, s__Exiguobacterium_A antarcticum, 95.0, 80.57, 0.501; GCF_014524545.1, s__Exiguobacterium_A sp004339505, 95.0, 80.55, 0.514; GCF_001870785.1, s__Exiguobacterium_A sp001870785, 95.0, 80.52, 0.514; GCF_003344535.1, s__Exiguobacterium_A flavidum, 95.0, 79.14, 0.277	86.16	11	N/A	N/A
