#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID	TAXID
RL|S1|C669	CONCOCT_1	287
RL|S1|C683	CONCOCT_1	287
RL|S1|C996	CONCOCT_1	287
RL|S1|C1238	CONCOCT_1	287
RL|S1|C1541	CONCOCT_1	287
RL|S1|C1595	CONCOCT_1	287
RL|S1|C1728	CONCOCT_1	287
RL|S1|C1799	CONCOCT_1	287
RL|S1|C2484	CONCOCT_1	287
RL|S1|C2703	CONCOCT_1	287
RL|S1|C3064	CONCOCT_1	287
RL|S1|C3394	CONCOCT_1	287
RL|S1|C3844	CONCOCT_1	287
RL|S1|C4000	CONCOCT_1	287
RL|S1|C4510	CONCOCT_1	287
RL|S1|C4536	CONCOCT_1	287
RL|S1|C4788	CONCOCT_1	287
RL|S1|C5211	CONCOCT_1	287
RL|S1|C5562	CONCOCT_1	287
RL|S1|C6047	CONCOCT_1	287
RL|S1|C6367	CONCOCT_1	287
RL|S1|C6491	CONCOCT_1	287
RL|S1|C6551	CONCOCT_1	287
RL|S1|C6954	CONCOCT_1	287
RL|S1|C6982	CONCOCT_1	287
RL|S1|C7027	CONCOCT_1	287
RL|S1|C7413	CONCOCT_1	287
RL|S1|C7641	CONCOCT_1	287
RL|S1|C7645	CONCOCT_1	287
RL|S1|C7649	CONCOCT_1	287
RL|S1|C7838	CONCOCT_1	287
RL|S1|C8185	CONCOCT_1	287
RL|S1|C8307	CONCOCT_1	287
RL|S1|C8534	CONCOCT_1	287
RL|S1|C8853	CONCOCT_1	287
RL|S1|C9234	CONCOCT_1	287
RL|S1|C9516	CONCOCT_1	287
RL|S1|C9735	CONCOCT_1	287
RL|S1|C10194	CONCOCT_1	287
RL|S1|C10786	CONCOCT_1	287
RL|S1|C11216	CONCOCT_1	287
RL|S1|C11734	CONCOCT_1	287
RL|S1|C12153	CONCOCT_1	287
RL|S1|C12305	CONCOCT_1	287
RL|S1|C12438	CONCOCT_1	287
RL|S1|C12651	CONCOCT_1	287
RL|S1|C12939	CONCOCT_1	287
RL|S1|C12966	CONCOCT_1	287
RL|S1|C12984	CONCOCT_1	287
RL|S1|C13040	CONCOCT_1	287
RL|S1|C13251	CONCOCT_1	287
RL|S1|C13286	CONCOCT_1	287
RL|S1|C13790	CONCOCT_1	287
RL|S1|C13797	CONCOCT_1	287
RL|S1|C13980	CONCOCT_1	287
RL|S1|C14456	CONCOCT_1	287
RL|S1|C14892	CONCOCT_1	287
RL|S1|C15004	CONCOCT_1	287
RL|S1|C15043	CONCOCT_1	287
RL|S1|C15347	CONCOCT_1	287
RL|S1|C15802	CONCOCT_1	287
RL|S1|C16705	CONCOCT_1	287
RL|S1|C16917	CONCOCT_1	287
RL|S1|C17288	CONCOCT_1	287
RL|S1|C17468	CONCOCT_1	287
RL|S1|C18432	CONCOCT_1	287
RL|S1|C18692	CONCOCT_1	287
RL|S1|C18781	CONCOCT_1	287
RL|S1|C10	CONCOCT_12	149698
RL|S1|C17	CONCOCT_12	149698
RL|S1|C23	CONCOCT_12	149698
RL|S1|C49	CONCOCT_12	149698
RL|S1|C61	CONCOCT_12	149698
RL|S1|C82	CONCOCT_12	149698
