#CAMI Format for Binning
@Version:0.9.0
@SampleID:_SAMPLEID_
@@SEQUENCEID	BINID	TAXID
RL|S1|C2	SemiBin_0	264463
RL|S1|C24	SemiBin_0	264463
RL|S1|C77	SemiBin_0	264463
RL|S1|C95	SemiBin_0	264463
RL|S1|C125	SemiBin_0	264463
RL|S1|C129	SemiBin_0	264463
RL|S1|C144	SemiBin_0	264463
RL|S1|C152	SemiBin_0	264463
RL|S1|C159	SemiBin_0	264463
RL|S1|C168	SemiBin_0	264463
RL|S1|C174	SemiBin_0	264463
RL|S1|C226	SemiBin_0	264463
RL|S1|C228	SemiBin_0	264463
RL|S1|C234	SemiBin_0	264463
RL|S1|C251	SemiBin_0	264463
RL|S1|C255	SemiBin_0	264463
RL|S1|C264	SemiBin_0	264463
RL|S1|C279	SemiBin_0	264463
RL|S1|C307	SemiBin_0	264463
RL|S1|C308	SemiBin_0	264463
RL|S1|C309	SemiBin_0	264463
RL|S1|C323	SemiBin_0	264463
RL|S1|C326	SemiBin_0	264463
RL|S1|C338	SemiBin_0	264463
RL|S1|C346	SemiBin_0	264463
RL|S1|C350	SemiBin_0	264463
RL|S1|C380	SemiBin_0	264463
RL|S1|C388	SemiBin_0	264463
RL|S1|C401	SemiBin_0	264463
RL|S1|C406	SemiBin_0	264463
RL|S1|C416	SemiBin_0	264463
RL|S1|C422	SemiBin_0	264463
RL|S1|C450	SemiBin_0	264463
RL|S1|C468	SemiBin_0	264463
RL|S1|C488	SemiBin_0	264463
RL|S1|C494	SemiBin_0	264463
RL|S1|C510	SemiBin_0	264463
RL|S1|C512	SemiBin_0	264463
RL|S1|C513	SemiBin_0	264463
RL|S1|C516	SemiBin_0	264463
RL|S1|C528	SemiBin_0	264463
RL|S1|C530	SemiBin_0	264463
RL|S1|C539	SemiBin_0	264463
RL|S1|C561	SemiBin_0	264463
RL|S1|C637	SemiBin_0	264463
RL|S1|C671	SemiBin_0	264463
RL|S1|C672	SemiBin_0	264463
RL|S1|C676	SemiBin_0	264463
RL|S1|C684	SemiBin_0	264463
RL|S1|C686	SemiBin_0	264463
RL|S1|C711	SemiBin_0	264463
RL|S1|C714	SemiBin_0	264463
RL|S1|C750	SemiBin_0	264463
RL|S1|C757	SemiBin_0	264463
RL|S1|C777	SemiBin_0	264463
RL|S1|C815	SemiBin_0	264463
RL|S1|C819	SemiBin_0	264463
RL|S1|C835	SemiBin_0	264463
RL|S1|C838	SemiBin_0	264463
RL|S1|C858	SemiBin_0	264463
RL|S1|C866	SemiBin_0	264463
RL|S1|C875	SemiBin_0	264463
RL|S1|C883	SemiBin_0	264463
RL|S1|C932	SemiBin_0	264463
RL|S1|C952	SemiBin_0	264463
RL|S1|C956	SemiBin_0	264463
RL|S1|C985	SemiBin_0	264463
RL|S1|C992	SemiBin_0	264463
RL|S1|C998	SemiBin_0	264463
RL|S1|C1040	SemiBin_0	264463
RL|S1|C1071	SemiBin_0	264463
RL|S1|C1079	SemiBin_0	264463
RL|S1|C1096	SemiBin_0	264463
RL|S1|C1099	SemiBin_0	264463
RL|S1|C1114	SemiBin_0	264463
RL|S1|C1130	SemiBin_0	264463
RL|S1|C1135	SemiBin_0	264463
RL|S1|C1141	SemiBin_0	264463
RL|S1|C1176	SemiBin_0	264463
RL|S1|C1177	SemiBin_0	264463
RL|S1|C1185	SemiBin_0	264463
RL|S1|C1188	SemiBin_0	264463
RL|S1|C1190	SemiBin_0	264463
RL|S1|C1212	SemiBin_0	264463
RL|S1|C1229	SemiBin_0	264463
RL|S1|C1234	SemiBin_0	264463
RL|S1|C1276	SemiBin_0	264463
RL|S1|C1281	SemiBin_0	264463
RL|S1|C1290	SemiBin_0	264463
RL|S1|C1299	SemiBin_0	264463
RL|S1|C1314	SemiBin_0	264463
RL|S1|C1327	SemiBin_0	264463
RL|S1|C1328	SemiBin_0	264463
RL|S1|C1340	SemiBin_0	264463
RL|S1|C1347	SemiBin_0	264463
RL|S1|C1361	SemiBin_0	264463
RL|S1|C1368	SemiBin_0	264463
RL|S1|C1371	SemiBin_0	264463
RL|S1|C1372	SemiBin_0	264463
RL|S1|C1376	SemiBin_0	264463
RL|S1|C1399	SemiBin_0	264463
RL|S1|C1401	SemiBin_0	264463
RL|S1|C1406	SemiBin_0	264463
RL|S1|C1413	SemiBin_0	264463
RL|S1|C1427	SemiBin_0	264463
RL|S1|C1430	SemiBin_0	264463
RL|S1|C1469	SemiBin_0	264463
RL|S1|C1484	SemiBin_0	264463
RL|S1|C1504	SemiBin_0	264463
RL|S1|C1526	SemiBin_0	264463
RL|S1|C1531	SemiBin_0	264463
RL|S1|C1556	SemiBin_0	264463
RL|S1|C1574	SemiBin_0	264463
RL|S1|C1587	SemiBin_0	264463
RL|S1|C1610	SemiBin_0	264463
RL|S1|C1615	SemiBin_0	264463
RL|S1|C1620	SemiBin_0	264463
RL|S1|C1643	SemiBin_0	264463
RL|S1|C1644	SemiBin_0	264463
RL|S1|C1659	SemiBin_0	264463
RL|S1|C1690	SemiBin_0	264463
RL|S1|C1691	SemiBin_0	264463
RL|S1|C1693	SemiBin_0	264463
RL|S1|C1698	SemiBin_0	264463
RL|S1|C1699	SemiBin_0	264463
RL|S1|C1715	SemiBin_0	264463
RL|S1|C1731	SemiBin_0	264463
RL|S1|C1736	SemiBin_0	264463
RL|S1|C1743	SemiBin_0	264463
RL|S1|C1773	SemiBin_0	264463
RL|S1|C1776	SemiBin_0	264463
RL|S1|C1796	SemiBin_0	264463
RL|S1|C1798	SemiBin_0	264463
RL|S1|C1829	SemiBin_0	264463
RL|S1|C1833	SemiBin_0	264463
RL|S1|C1848	SemiBin_0	264463
RL|S1|C1865	SemiBin_0	264463
RL|S1|C1909	SemiBin_0	264463
RL|S1|C1955	SemiBin_0	264463
RL|S1|C1972	SemiBin_0	264463
RL|S1|C2012	SemiBin_0	264463
RL|S1|C2014	SemiBin_0	264463
RL|S1|C2023	SemiBin_0	264463
RL|S1|C2034	SemiBin_0	264463
RL|S1|C2035	SemiBin_0	264463
RL|S1|C2037	SemiBin_0	264463
RL|S1|C2039	SemiBin_0	264463
RL|S1|C2073	SemiBin_0	264463
RL|S1|C2089	SemiBin_0	264463
RL|S1|C2093	SemiBin_0	264463
RL|S1|C2103	SemiBin_0	264463
RL|S1|C2182	SemiBin_0	264463
RL|S1|C2191	SemiBin_0	264463
RL|S1|C2195	SemiBin_0	264463
RL|S1|C2199	SemiBin_0	264463
RL|S1|C2204	SemiBin_0	264463
RL|S1|C2215	SemiBin_0	264463
RL|S1|C2229	SemiBin_0	264463
RL|S1|C2235	SemiBin_0	264463
RL|S1|C2239	SemiBin_0	264463
RL|S1|C2249	SemiBin_0	264463
RL|S1|C2259	SemiBin_0	264463
RL|S1|C2272	SemiBin_0	264463
RL|S1|C2282	SemiBin_0	264463
RL|S1|C2300	SemiBin_0	264463
RL|S1|C2338	SemiBin_0	264463
RL|S1|C2358	SemiBin_0	264463
RL|S1|C2366	SemiBin_0	264463
RL|S1|C2368	SemiBin_0	264463
RL|S1|C2371	SemiBin_0	264463
RL|S1|C2418	SemiBin_0	264463
RL|S1|C2423	SemiBin_0	264463
RL|S1|C2437	SemiBin_0	264463
RL|S1|C2439	SemiBin_0	264463
RL|S1|C2467	SemiBin_0	264463
RL|S1|C2520	SemiBin_0	264463
RL|S1|C2529	SemiBin_0	264463
RL|S1|C2575	SemiBin_0	264463
RL|S1|C2587	SemiBin_0	264463
RL|S1|C2591	SemiBin_0	264463
RL|S1|C2613	SemiBin_0	264463
RL|S1|C2618	SemiBin_0	264463
RL|S1|C2619	SemiBin_0	264463
RL|S1|C2633	SemiBin_0	264463
RL|S1|C2641	SemiBin_0	264463
RL|S1|C2651	SemiBin_0	264463
RL|S1|C2659	SemiBin_0	264463
RL|S1|C2663	SemiBin_0	264463
RL|S1|C2711	SemiBin_0	264463
RL|S1|C2714	SemiBin_0	264463
RL|S1|C2727	SemiBin_0	264463
RL|S1|C2731	SemiBin_0	264463
RL|S1|C2737	SemiBin_0	264463
RL|S1|C2746	SemiBin_0	264463
RL|S1|C2766	SemiBin_0	264463
RL|S1|C2796	SemiBin_0	264463
RL|S1|C2797	SemiBin_0	264463
RL|S1|C2829	SemiBin_0	264463
RL|S1|C2831	SemiBin_0	264463
RL|S1|C2838	SemiBin_0	264463
RL|S1|C2843	SemiBin_0	264463
RL|S1|C2859	SemiBin_0	264463
RL|S1|C2861	SemiBin_0	264463
RL|S1|C2867	SemiBin_0	264463
RL|S1|C2889	SemiBin_0	264463
RL|S1|C2906	SemiBin_0	264463
RL|S1|C2931	SemiBin_0	264463
RL|S1|C2932	SemiBin_0	264463
RL|S1|C2934	SemiBin_0	264463
RL|S1|C2937	SemiBin_0	264463
RL|S1|C2938	SemiBin_0	264463
RL|S1|C2945	SemiBin_0	264463
RL|S1|C2994	SemiBin_0	264463
RL|S1|C3008	SemiBin_0	264463
RL|S1|C3010	SemiBin_0	264463
RL|S1|C3019	SemiBin_0	264463
RL|S1|C3040	SemiBin_0	264463
RL|S1|C3052	SemiBin_0	264463
RL|S1|C3095	SemiBin_0	264463
RL|S1|C3096	SemiBin_0	264463
RL|S1|C3104	SemiBin_0	264463
RL|S1|C3115	SemiBin_0	264463
RL|S1|C3144	SemiBin_0	264463
RL|S1|C3149	SemiBin_0	264463
RL|S1|C3150	SemiBin_0	264463
RL|S1|C3168	SemiBin_0	264463
RL|S1|C3177	SemiBin_0	264463
RL|S1|C3178	SemiBin_0	264463
RL|S1|C3203	SemiBin_0	264463
RL|S1|C3209	SemiBin_0	264463
RL|S1|C3226	SemiBin_0	264463
RL|S1|C3239	SemiBin_0	264463
RL|S1|C3242	SemiBin_0	264463
RL|S1|C3259	SemiBin_0	264463
RL|S1|C3266	SemiBin_0	264463
RL|S1|C3268	SemiBin_0	264463
RL|S1|C3269	SemiBin_0	264463
RL|S1|C3274	SemiBin_0	264463
RL|S1|C3332	SemiBin_0	264463
RL|S1|C3338	SemiBin_0	264463
RL|S1|C3354	SemiBin_0	264463
RL|S1|C3355	SemiBin_0	264463
RL|S1|C3364	SemiBin_0	264463
RL|S1|C3367	SemiBin_0	264463
RL|S1|C3372	SemiBin_0	264463
RL|S1|C3391	SemiBin_0	264463
RL|S1|C3398	SemiBin_0	264463
RL|S1|C3416	SemiBin_0	264463
RL|S1|C3429	SemiBin_0	264463
RL|S1|C3441	SemiBin_0	264463
RL|S1|C3445	SemiBin_0	264463
RL|S1|C3454	SemiBin_0	264463
RL|S1|C3474	SemiBin_0	264463
RL|S1|C3546	SemiBin_0	264463
RL|S1|C3561	SemiBin_0	264463
RL|S1|C3595	SemiBin_0	264463
RL|S1|C3639	SemiBin_0	264463
RL|S1|C3657	SemiBin_0	264463
RL|S1|C3680	SemiBin_0	264463
RL|S1|C3696	SemiBin_0	264463
RL|S1|C3709	SemiBin_0	264463
RL|S1|C3712	SemiBin_0	264463
RL|S1|C3719	SemiBin_0	264463
RL|S1|C3726	SemiBin_0	264463
RL|S1|C3734	SemiBin_0	264463
RL|S1|C3769	SemiBin_0	264463
RL|S1|C3771	SemiBin_0	264463
RL|S1|C3773	SemiBin_0	264463
RL|S1|C3834	SemiBin_0	264463
RL|S1|C3852	SemiBin_0	264463
RL|S1|C3858	SemiBin_0	264463
RL|S1|C3866	SemiBin_0	264463
RL|S1|C3875	SemiBin_0	264463
RL|S1|C3900	SemiBin_0	264463
RL|S1|C3904	SemiBin_0	264463
RL|S1|C3905	SemiBin_0	264463
RL|S1|C3926	SemiBin_0	264463
RL|S1|C3932	SemiBin_0	264463
RL|S1|C3943	SemiBin_0	264463
RL|S1|C3984	SemiBin_0	264463
RL|S1|C3985	SemiBin_0	264463
RL|S1|C3998	SemiBin_0	264463
RL|S1|C4016	SemiBin_0	264463
RL|S1|C4039	SemiBin_0	264463
RL|S1|C4054	SemiBin_0	264463
RL|S1|C4057	SemiBin_0	264463
RL|S1|C4078	SemiBin_0	264463
RL|S1|C4086	SemiBin_0	264463
RL|S1|C4090	SemiBin_0	264463
RL|S1|C4093	SemiBin_0	264463
RL|S1|C4108	SemiBin_0	264463
RL|S1|C4134	SemiBin_0	264463
RL|S1|C4140	SemiBin_0	264463
RL|S1|C4164	SemiBin_0	264463
RL|S1|C4210	SemiBin_0	264463
RL|S1|C4216	SemiBin_0	264463
RL|S1|C4237	SemiBin_0	264463
RL|S1|C4251	SemiBin_0	264463
RL|S1|C4263	SemiBin_0	264463
RL|S1|C4264	SemiBin_0	264463
RL|S1|C4268	SemiBin_0	264463
RL|S1|C4272	SemiBin_0	264463
RL|S1|C4277	SemiBin_0	264463
RL|S1|C4284	SemiBin_0	264463
RL|S1|C4289	SemiBin_0	264463
RL|S1|C4290	SemiBin_0	264463
RL|S1|C4295	SemiBin_0	264463
RL|S1|C4314	SemiBin_0	264463
RL|S1|C4321	SemiBin_0	264463
RL|S1|C4345	SemiBin_0	264463
RL|S1|C4387	SemiBin_0	264463
RL|S1|C4389	SemiBin_0	264463
RL|S1|C4407	SemiBin_0	264463
RL|S1|C4424	SemiBin_0	264463
RL|S1|C4434	SemiBin_0	264463
RL|S1|C4448	SemiBin_0	264463
RL|S1|C4466	SemiBin_0	264463
RL|S1|C4551	SemiBin_0	264463
RL|S1|C4568	SemiBin_0	264463
RL|S1|C4580	SemiBin_0	264463
RL|S1|C4584	SemiBin_0	264463
RL|S1|C4588	SemiBin_0	264463
RL|S1|C4611	SemiBin_0	264463
RL|S1|C4623	SemiBin_0	264463
RL|S1|C4641	SemiBin_0	264463
RL|S1|C4657	SemiBin_0	264463
RL|S1|C4663	SemiBin_0	264463
RL|S1|C4665	SemiBin_0	264463
RL|S1|C4686	SemiBin_0	264463
RL|S1|C4687	SemiBin_0	264463
RL|S1|C4699	SemiBin_0	264463
RL|S1|C4734	SemiBin_0	264463
RL|S1|C4754	SemiBin_0	264463
RL|S1|C4775	SemiBin_0	264463
RL|S1|C4777	SemiBin_0	264463
RL|S1|C4827	SemiBin_0	264463
RL|S1|C4831	SemiBin_0	264463
RL|S1|C4850	SemiBin_0	264463
RL|S1|C4854	SemiBin_0	264463
RL|S1|C4865	SemiBin_0	264463
RL|S1|C4880	SemiBin_0	264463
RL|S1|C4883	SemiBin_0	264463
RL|S1|C4902	SemiBin_0	264463
RL|S1|C4920	SemiBin_0	264463
RL|S1|C4949	SemiBin_0	264463
RL|S1|C4966	SemiBin_0	264463
RL|S1|C4977	SemiBin_0	264463
RL|S1|C4979	SemiBin_0	264463
RL|S1|C4993	SemiBin_0	264463
RL|S1|C4995	SemiBin_0	264463
RL|S1|C5087	SemiBin_0	264463
RL|S1|C5117	SemiBin_0	264463
RL|S1|C5130	SemiBin_0	264463
RL|S1|C5139	SemiBin_0	264463
RL|S1|C5155	SemiBin_0	264463
RL|S1|C5171	SemiBin_0	264463
RL|S1|C5173	SemiBin_0	264463
RL|S1|C5174	SemiBin_0	264463
RL|S1|C5178	SemiBin_0	264463
RL|S1|C5185	SemiBin_0	264463
RL|S1|C5201	SemiBin_0	264463
RL|S1|C5204	SemiBin_0	264463
RL|S1|C5240	SemiBin_0	264463
RL|S1|C5340	SemiBin_0	264463
RL|S1|C5356	SemiBin_0	264463
RL|S1|C5358	SemiBin_0	264463
RL|S1|C5361	SemiBin_0	264463
RL|S1|C5365	SemiBin_0	264463
RL|S1|C5410	SemiBin_0	264463
RL|S1|C5428	SemiBin_0	264463
RL|S1|C5433	SemiBin_0	264463
RL|S1|C5445	SemiBin_0	264463
RL|S1|C5484	SemiBin_0	264463
RL|S1|C5507	SemiBin_0	264463
RL|S1|C5508	SemiBin_0	264463
RL|S1|C5510	SemiBin_0	264463
RL|S1|C5514	SemiBin_0	264463
RL|S1|C5525	SemiBin_0	264463
RL|S1|C5578	SemiBin_0	264463
RL|S1|C5582	SemiBin_0	264463
RL|S1|C5583	SemiBin_0	264463
RL|S1|C5587	SemiBin_0	264463
RL|S1|C5590	SemiBin_0	264463
RL|S1|C5591	SemiBin_0	264463
RL|S1|C5624	SemiBin_0	264463
RL|S1|C5633	SemiBin_0	264463
RL|S1|C5676	SemiBin_0	264463
RL|S1|C5677	SemiBin_0	264463
RL|S1|C5692	SemiBin_0	264463
RL|S1|C5701	SemiBin_0	264463
RL|S1|C5712	SemiBin_0	264463
RL|S1|C5773	SemiBin_0	264463
RL|S1|C5788	SemiBin_0	264463
RL|S1|C5792	SemiBin_0	264463
RL|S1|C5800	SemiBin_0	264463
RL|S1|C5811	SemiBin_0	264463
RL|S1|C5829	SemiBin_0	264463
RL|S1|C5854	SemiBin_0	264463
RL|S1|C5861	SemiBin_0	264463
RL|S1|C5883	SemiBin_0	264463
RL|S1|C5887	SemiBin_0	264463
RL|S1|C5900	SemiBin_0	264463
RL|S1|C5903	SemiBin_0	264463
RL|S1|C5907	SemiBin_0	264463
RL|S1|C5930	SemiBin_0	264463
RL|S1|C5941	SemiBin_0	264463
RL|S1|C5948	SemiBin_0	264463
RL|S1|C5951	SemiBin_0	264463
RL|S1|C5964	SemiBin_0	264463
RL|S1|C5965	SemiBin_0	264463
RL|S1|C5974	SemiBin_0	264463
RL|S1|C5985	SemiBin_0	264463
RL|S1|C6062	SemiBin_0	264463
RL|S1|C6076	SemiBin_0	264463
RL|S1|C6082	SemiBin_0	264463
RL|S1|C6110	SemiBin_0	264463
RL|S1|C6135	SemiBin_0	264463
RL|S1|C6151	SemiBin_0	264463
RL|S1|C6175	SemiBin_0	264463
RL|S1|C6183	SemiBin_0	264463
RL|S1|C6189	SemiBin_0	264463
RL|S1|C6191	SemiBin_0	264463
RL|S1|C6250	SemiBin_0	264463
RL|S1|C6258	SemiBin_0	264463
RL|S1|C6266	SemiBin_0	264463
RL|S1|C6288	SemiBin_0	264463
RL|S1|C6296	SemiBin_0	264463
RL|S1|C6306	SemiBin_0	264463
RL|S1|C6308	SemiBin_0	264463
RL|S1|C6359	SemiBin_0	264463
RL|S1|C6377	SemiBin_0	264463
RL|S1|C6383	SemiBin_0	264463
RL|S1|C6398	SemiBin_0	264463
RL|S1|C6415	SemiBin_0	264463
RL|S1|C6445	SemiBin_0	264463
RL|S1|C6480	SemiBin_0	264463
RL|S1|C6505	SemiBin_0	264463
RL|S1|C6520	SemiBin_0	264463
RL|S1|C6530	SemiBin_0	264463
RL|S1|C6544	SemiBin_0	264463
RL|S1|C6627	SemiBin_0	264463
RL|S1|C6630	SemiBin_0	264463
RL|S1|C6639	SemiBin_0	264463
RL|S1|C6641	SemiBin_0	264463
RL|S1|C6661	SemiBin_0	264463
RL|S1|C6664	SemiBin_0	264463
RL|S1|C6680	SemiBin_0	264463
RL|S1|C6699	SemiBin_0	264463
RL|S1|C6704	SemiBin_0	264463
RL|S1|C6725	SemiBin_0	264463
RL|S1|C6734	SemiBin_0	264463
RL|S1|C6735	SemiBin_0	264463
RL|S1|C6739	SemiBin_0	264463
RL|S1|C6834	SemiBin_0	264463
RL|S1|C6840	SemiBin_0	264463
RL|S1|C6842	SemiBin_0	264463
RL|S1|C6875	SemiBin_0	264463
RL|S1|C6892	SemiBin_0	264463
RL|S1|C6893	SemiBin_0	264463
RL|S1|C6903	SemiBin_0	264463
RL|S1|C6909	SemiBin_0	264463
RL|S1|C6931	SemiBin_0	264463
RL|S1|C6933	SemiBin_0	264463
RL|S1|C6974	SemiBin_0	264463
RL|S1|C6990	SemiBin_0	264463
RL|S1|C6992	SemiBin_0	264463
RL|S1|C7006	SemiBin_0	264463
RL|S1|C7038	SemiBin_0	264463
RL|S1|C7039	SemiBin_0	264463
RL|S1|C7053	SemiBin_0	264463
RL|S1|C7065	SemiBin_0	264463
RL|S1|C7096	SemiBin_0	264463
