user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SemiBin_0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter;s__Anaerosporobacter mobilis	GCF_900142955.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter;s__Anaerosporobacter mobilis	100.0	0.995	GCF_900142955.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter;s__Anaerosporobacter mobilis	100.0	0.995	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_018372435.1, s__Anaerosporobacter sp018372435, 95.0, 94.52, 0.847; GCF_012070565.1, s__Anaerosporobacter sp012070565, 95.0, 79.2, 0.322	71.84	11	N/A	Genome has more than 10.0% of markers with multiple hits
SemiBin_1	d__Bacteria;p__Firmicutes_D;c__Proteinivoracia;o__Proteinivoracales;f__Proteinivoraceae;g__Anaerobranca;s__Anaerobranca californiensis	GCF_900142275.1	95.0	d__Bacteria;p__Firmicutes_D;c__Proteinivoracia;o__Proteinivoracales;f__Proteinivoraceae;g__Anaerobranca;s__Anaerobranca californiensis	100.0	1.0	GCF_900142275.1	95.0	d__Bacteria;p__Firmicutes_D;c__Proteinivoracia;o__Proteinivoracales;f__Proteinivoraceae;g__Anaerobranca;s__Anaerobranca californiensis	100.0	1.0	d__Bacteria;p__Firmicutes_D;c__Proteinivoracia;o__Proteinivoracales;f__Proteinivoraceae;g__Anaerobranca;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900111575.1, s__Anaerobranca gottschalkii, 95.0, 86.07, 0.82	92.43	11	N/A	N/A
SemiBin_10	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum denitrificans	GCF_002973535.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum denitrificans	100.0	0.999	GCF_002973535.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum denitrificans	100.0	0.999	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002440625.1, s__Albidovulum sp002440625, 95.0, 81.69, 0.632; GCA_002280515.1, s__Albidovulum sp002280515, 95.0, 81.5, 0.625; GCA_011620265.1, s__Albidovulum sp011620265, 95.0, 81.18, 0.606; GCA_008933605.1, s__Albidovulum sp008933605, 95.0, 80.68, 0.575; GCA_002841115.1, s__Albidovulum sp002841115, 95.0, 80.54, 0.569; GCF_900302475.1, s__Albidovulum aquaemixtae, 95.0, 79.36, 0.444; GCF_002927635.1, s__Albidovulum inexpectatum, 95.0, 79.09, 0.487	98.19	11	N/A	N/A
SemiBin_14	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	99.0	0.952	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	99.0	0.952	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000702605.1, s__Exiguobacterium_A acetylicum, 95.0, 90.2, 0.805; GCF_001939065.1, s__Exiguobacterium_A indicum, 95.0, 90.13, 0.791; GCF_001275385.1, s__Exiguobacterium_A sp001275385, 95.0, 88.52, 0.773; GCF_000620865.1, s__Exiguobacterium_A sibiricum_A, 95.0, 80.67, 0.472; GCA_902363455.1, s__Exiguobacterium_A sp902363455, 95.0, 80.58, 0.455; GCF_000702625.1, s__Exiguobacterium_A oxidotolerans, 95.0, 80.55, 0.5; GCF_000685865.1, s__Exiguobacterium_A antarcticum, 95.0, 80.54, 0.466; GCF_003339585.1, s__Exiguobacterium_A sp003339585, 95.0, 80.54, 0.495; GCF_018618755.1, s__Exiguobacterium_A sp018618755, 95.0, 80.53, 0.494; GCF_000019905.1, s__Exiguobacterium_A sibiricum, 95.0, 80.47, 0.515; GCF_000620805.1, s__Exiguobacterium_A undae, 95.0, 80.47, 0.47; GCF_014524545.1, s__Exiguobacterium_A sp004339505, 95.0, 80.33, 0.479; GCF_001870785.1, s__Exiguobacterium_A sp001870785, 95.0, 80.29, 0.488; GCF_003344535.1, s__Exiguobacterium_A flavidum, 95.0, 79.31, 0.255	68.94	11	N/A	Genome has more than 15.0% of markers with multiple hits
SemiBin_15	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	99.22	0.947	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	99.22	0.947	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000702605.1, s__Exiguobacterium_A acetylicum, 95.0, 90.26, 0.889; GCF_001939065.1, s__Exiguobacterium_A indicum, 95.0, 90.22, 0.849; GCF_001275385.1, s__Exiguobacterium_A sp001275385, 95.0, 88.66, 0.83; GCA_902363455.1, s__Exiguobacterium_A sp902363455, 95.0, 80.73, 0.447; GCF_000702625.1, s__Exiguobacterium_A oxidotolerans, 95.0, 80.68, 0.488; GCF_018618755.1, s__Exiguobacterium_A sp018618755, 95.0, 80.63, 0.494; GCF_000620805.1, s__Exiguobacterium_A undae, 95.0, 80.54, 0.484; GCF_000620865.1, s__Exiguobacterium_A sibiricum_A, 95.0, 80.54, 0.502; GCF_000019905.1, s__Exiguobacterium_A sibiricum, 95.0, 80.48, 0.482; GCF_003339585.1, s__Exiguobacterium_A sp003339585, 95.0, 80.46, 0.48; GCF_000685865.1, s__Exiguobacterium_A antarcticum, 95.0, 80.42, 0.493; GCF_014524545.1, s__Exiguobacterium_A sp004339505, 95.0, 80.41, 0.496; GCF_001870785.1, s__Exiguobacterium_A sp001870785, 95.0, 80.29, 0.465; GCF_003344535.1, s__Exiguobacterium_A flavidum, 95.0, 79.24, 0.236	55.42	11	N/A	N/A
SemiBin_16	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	100.0	1.0	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	100.0	1.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000702605.1, s__Exiguobacterium_A acetylicum, 95.0, 91.54, 0.952; GCF_001939065.1, s__Exiguobacterium_A indicum, 95.0, 91.26, 0.895; GCF_001275385.1, s__Exiguobacterium_A sp001275385, 95.0, 89.98, 0.899; GCA_902363455.1, s__Exiguobacterium_A sp902363455, 95.0, 81.64, 0.597; GCF_000620865.1, s__Exiguobacterium_A sibiricum_A, 95.0, 81.57, 0.633; GCF_014524545.1, s__Exiguobacterium_A sp004339505, 95.0, 81.55, 0.657; GCF_018618755.1, s__Exiguobacterium_A sp018618755, 95.0, 81.52, 0.642; GCF_003339585.1, s__Exiguobacterium_A sp003339585, 95.0, 81.49, 0.634; GCF_000019905.1, s__Exiguobacterium_A sibiricum, 95.0, 81.47, 0.634; GCF_000702625.1, s__Exiguobacterium_A oxidotolerans, 95.0, 81.47, 0.647; GCF_000620805.1, s__Exiguobacterium_A undae, 95.0, 81.35, 0.644; GCF_001870785.1, s__Exiguobacterium_A sp001870785, 95.0, 81.25, 0.617; GCF_000685865.1, s__Exiguobacterium_A antarcticum, 95.0, 81.25, 0.625; GCF_003344535.1, s__Exiguobacterium_A flavidum, 95.0, 79.67, 0.343	85.7	11	N/A	N/A
SemiBin_17	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	98.92	0.951	GCF_001423965.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__Exiguobacterium_A sp001423965	98.92	0.951	d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000702605.1, s__Exiguobacterium_A acetylicum, 95.0, 89.99, 0.808; GCF_001939065.1, s__Exiguobacterium_A indicum, 95.0, 89.97, 0.791; GCF_001275385.1, s__Exiguobacterium_A sp001275385, 95.0, 88.33, 0.767; GCF_018618755.1, s__Exiguobacterium_A sp018618755, 95.0, 80.48, 0.475; GCF_000620865.1, s__Exiguobacterium_A sibiricum_A, 95.0, 80.46, 0.463; GCA_902363455.1, s__Exiguobacterium_A sp902363455, 95.0, 80.45, 0.448; GCF_000702625.1, s__Exiguobacterium_A oxidotolerans, 95.0, 80.45, 0.479; GCF_000620805.1, s__Exiguobacterium_A undae, 95.0, 80.39, 0.45; GCF_000019905.1, s__Exiguobacterium_A sibiricum, 95.0, 80.34, 0.472; GCF_014524545.1, s__Exiguobacterium_A sp004339505, 95.0, 80.31, 0.45; GCF_000685865.1, s__Exiguobacterium_A antarcticum, 95.0, 80.31, 0.449; GCF_003339585.1, s__Exiguobacterium_A sp003339585, 95.0, 80.3, 0.471; GCF_001870785.1, s__Exiguobacterium_A sp001870785, 95.0, 80.24, 0.458; GCF_003344535.1, s__Exiguobacterium_A flavidum, 95.0, 79.1, 0.254	71.84	11	N/A	Genome has more than 13.3% of markers with multiple hits
SemiBin_18	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma bactoclasticum	GCF_003550015.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma bactoclasticum	98.99	0.919	GCF_003550015.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma bactoclasticum	98.99	0.919	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017388605.1, s__Anaeroplasma sp017388605, 95.0, 83.7, 0.722; GCA_017449215.1, s__Anaeroplasma sp017449215, 95.0, 78.26, 0.268; GCA_017441525.1, s__Anaeroplasma sp017441525, 95.0, 78.17, 0.276; GCA_017524905.1, s__Anaeroplasma sp017524905, 95.0, 77.95, 0.238; GCA_002449755.1, s__Anaeroplasma sp002449755, 95.0, 77.9, 0.268; GCA_016280975.1, s__Anaeroplasma sp016280975, 95.0, 77.81, 0.257; GCA_017462645.1, s__Anaeroplasma sp017462645, 95.0, 77.8, 0.236; GCA_017542485.1, s__Anaeroplasma sp017542485, 95.0, 77.55, 0.195; GCA_017444645.1, s__Anaeroplasma sp017444645, 95.0, 77.47, 0.262; GCA_900770055.1, s__Anaeroplasma sp900770055, 95.0, 77.41, 0.184; GCA_902783745.1, s__Anaeroplasma sp902783745, 95.0, 77.4, 0.217; GCA_016288855.1, s__Anaeroplasma sp016288855, 95.0, 77.38, 0.218; GCA_016282815.1, s__Anaeroplasma sp016282815, 95.0, 77.33, 0.221; GCA_015059145.1, s__Anaeroplasma sp015059145, 95.0, 77.32, 0.197; GCA_017454375.1, s__Anaeroplasma sp017454375, 95.0, 77.22, 0.13; GCA_900767915.1, s__Anaeroplasma sp900767915, 95.0, 77.2, 0.183; GCA_018715825.1, s__Anaeroplasma faecigallinarum, 95.0, 76.96, 0.111; GCA_902796895.1, s__Anaeroplasma sp902796895, 95.0, 76.93, 0.242; GCA_905236965.1, s__Anaeroplasma sp905236965, 95.0, 76.16, 0.185; GCA_905236105.1, s__Anaeroplasma sp905236105, 95.0, 76.08, 0.131	50.77	11	N/A	Genome has more than 15.8% of markers with multiple hits
SemiBin_19	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma bactoclasticum	GCF_003550015.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma bactoclasticum	97.74	0.823	GCF_003550015.1	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma bactoclasticum	97.74	0.823	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017388605.1, s__Anaeroplasma sp017388605, 95.0, 83.3, 0.568; GCA_002449755.1, s__Anaeroplasma sp002449755, 95.0, 77.91, 0.203; GCA_017449215.1, s__Anaeroplasma sp017449215, 95.0, 77.88, 0.205; GCA_016280975.1, s__Anaeroplasma sp016280975, 95.0, 77.82, 0.185; GCA_017441525.1, s__Anaeroplasma sp017441525, 95.0, 77.68, 0.212; GCA_017462645.1, s__Anaeroplasma sp017462645, 95.0, 77.63, 0.21; GCA_017524905.1, s__Anaeroplasma sp017524905, 95.0, 77.5, 0.189; GCA_017444645.1, s__Anaeroplasma sp017444645, 95.0, 77.44, 0.181; GCA_017542485.1, s__Anaeroplasma sp017542485, 95.0, 77.34, 0.145; GCA_016288855.1, s__Anaeroplasma sp016288855, 95.0, 77.29, 0.163; GCA_900770055.1, s__Anaeroplasma sp900770055, 95.0, 77.22, 0.134; GCA_016282815.1, s__Anaeroplasma sp016282815, 95.0, 77.17, 0.165; GCA_015059145.1, s__Anaeroplasma sp015059145, 95.0, 77.15, 0.164; GCA_017454375.1, s__Anaeroplasma sp017454375, 95.0, 77.01, 0.112; GCA_902796895.1, s__Anaeroplasma sp902796895, 95.0, 77.01, 0.169; GCA_902783745.1, s__Anaeroplasma sp902783745, 95.0, 76.95, 0.154; GCA_900767915.1, s__Anaeroplasma sp900767915, 95.0, 76.87, 0.128; GCA_018715825.1, s__Anaeroplasma faecigallinarum, 95.0, 76.42, 0.087; GCA_905236105.1, s__Anaeroplasma sp905236105, 95.0, 76.2, 0.103; GCA_905236965.1, s__Anaeroplasma sp905236965, 95.0, 75.82, 0.143	37.43	11	N/A	N/A
SemiBin_2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__Hydrotalea sandarakina	GCF_003254115.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__Hydrotalea sandarakina	99.13	0.934	GCF_003254115.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__Hydrotalea sandarakina	99.13	0.934	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Hydrotalea;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_011362875.1, s__Hydrotalea flava_A, 95.0, 93.76, 0.894; GCA_001623405.1, s__Hydrotalea flava, 95.0, 78.83, 0.52	54.71	11	N/A	Genome has more than 30.0% of markers with multiple hits
