#CAMI Format for Binning
@Version:0.9.0
@SampleID:_SAMPLEID_
@@SEQUENCEID	BINID	TAXID
RL|S1|C1198	1	1736349
RL|S1|C3912	1	1736349
RL|S1|C10907	1	1736349
RL|S1|C13963	1	1736349
RL|S1|C14639	1	1736349
RL|S1|C15554	1	1736349
RL|S1|C131	10	2371
RL|S1|C1410	10	2371
RL|S1|C2929	10	2371
RL|S1|C3754	10	2371
RL|S1|C4624	10	2371
RL|S1|C5025	10	2371
RL|S1|C5166	10	2371
RL|S1|C5363	10	2371
RL|S1|C5630	10	2371
RL|S1|C6512	10	2371
RL|S1|C6681	10	2371
RL|S1|C7651	10	2371
RL|S1|C8009	10	2371
RL|S1|C8049	10	2371
RL|S1|C9043	10	2371
RL|S1|C9273	10	2371
RL|S1|C10237	10	2371
RL|S1|C11486	10	2371
RL|S1|C11816	10	2371
RL|S1|C12476	10	2371
RL|S1|C12865	10	2371
RL|S1|C13000	10	2371
RL|S1|C13955	10	2371
RL|S1|C14002	10	2371
RL|S1|C15078	10	2371
RL|S1|C16400	10	2371
RL|S1|C18539	10	2371
RL|S1|C19102	10	2371
RL|S1|C19311	10	2371
RL|S1|C19	11	191027
RL|S1|C21	11	191027
RL|S1|C39	11	191027
RL|S1|C70	11	191027
RL|S1|C81	11	191027
RL|S1|C95	11	191027
RL|S1|C101	11	191027
RL|S1|C109	11	191027
RL|S1|C137	11	191027
RL|S1|C140	11	191027
RL|S1|C144	11	191027
RL|S1|C172	11	191027
RL|S1|C193	11	191027
RL|S1|C256	11	191027
RL|S1|C309	11	191027
RL|S1|C333	11	191027
RL|S1|C341	11	191027
RL|S1|C422	11	191027
RL|S1|C464	11	191027
RL|S1|C476	11	191027
RL|S1|C486	11	191027
RL|S1|C503	11	191027
RL|S1|C512	11	191027
RL|S1|C531	11	191027
RL|S1|C567	11	191027
RL|S1|C574	11	191027
RL|S1|C581	11	191027
RL|S1|C585	11	191027
RL|S1|C616	11	191027
RL|S1|C623	11	191027
RL|S1|C638	11	191027
