#CAMI Format for Binning
@Version:0.9.0
@SampleID:gsa
@@SEQUENCEID	BINID
RL|S1|C47	0
RL|S1|C50	0
RL|S1|C435	0
RL|S1|C610	0
RL|S1|C647	0
RL|S1|C983	0
RL|S1|C1061	0
RL|S1|C1142	0
RL|S1|C1239	0
RL|S1|C1438	0
RL|S1|C1563	0
RL|S1|C1640	0
RL|S1|C2305	0
RL|S1|C3545	0
RL|S1|C3585	0
RL|S1|C3967	0
RL|S1|C4059	0
RL|S1|C4166	0
RL|S1|C4338	0
RL|S1|C4710	0
RL|S1|C4952	0
RL|S1|C5333	0
RL|S1|C6112	0
RL|S1|C6466	0
RL|S1|C6899	0
RL|S1|C7215	0
RL|S1|C7679	0
RL|S1|C8248	0
RL|S1|C8756	0
RL|S1|C8891	0
RL|S1|C9204	0
RL|S1|C9692	0
RL|S1|C9780	0
RL|S1|C9858	0
RL|S1|C9873	0
RL|S1|C10098	0
RL|S1|C10383	0
RL|S1|C10562	0
RL|S1|C10621	0
RL|S1|C10773	0
RL|S1|C10817	0
RL|S1|C11202	0
RL|S1|C11334	0
RL|S1|C11515	0
RL|S1|C11517	0
RL|S1|C11970	0
RL|S1|C12309	0
RL|S1|C12495	0
RL|S1|C12579	0
RL|S1|C12830	0
RL|S1|C13203	0
RL|S1|C13209	0
RL|S1|C13387	0
RL|S1|C13529	0
RL|S1|C13806	0
RL|S1|C14688	0
RL|S1|C14927	0
RL|S1|C15246	0
RL|S1|C15711	0
RL|S1|C15828	0
RL|S1|C15855	0
RL|S1|C15946	0
RL|S1|C16502	0
RL|S1|C16554	0
RL|S1|C17109	0
RL|S1|C17522	0
RL|S1|C17632	0
RL|S1|C17640	0
RL|S1|C17794	0
RL|S1|C18154	0
RL|S1|C18523	0
RL|S1|C18657	0
RL|S1|C19070	0
RL|S1|C19372	0
RL|S1|C669	1
RL|S1|C683	1
RL|S1|C996	1
RL|S1|C1238	1
RL|S1|C1541	1
RL|S1|C1595	1
RL|S1|C1728	1
RL|S1|C1799	1
RL|S1|C2484	1
RL|S1|C2703	1
RL|S1|C3064	1
RL|S1|C3394	1
RL|S1|C3844	1
RL|S1|C4000	1
RL|S1|C4510	1
RL|S1|C4536	1
RL|S1|C4788	1
RL|S1|C5211	1
RL|S1|C5562	1
RL|S1|C6047	1
RL|S1|C6367	1
RL|S1|C6491	1
RL|S1|C6551	1
RL|S1|C6954	1
RL|S1|C6982	1
RL|S1|C7027	1
RL|S1|C7413	1
RL|S1|C7641	1
RL|S1|C7645	1
RL|S1|C7649	1
RL|S1|C7838	1
RL|S1|C8185	1
RL|S1|C8307	1
RL|S1|C8534	1
RL|S1|C8853	1
RL|S1|C9234	1
RL|S1|C9516	1
RL|S1|C9735	1
RL|S1|C10194	1
RL|S1|C10786	1
RL|S1|C11216	1
RL|S1|C11734	1
RL|S1|C12153	1
RL|S1|C12305	1
RL|S1|C12438	1
RL|S1|C12651	1
RL|S1|C12939	1
RL|S1|C12966	1
RL|S1|C12984	1
RL|S1|C13040	1
RL|S1|C13251	1
RL|S1|C13286	1
RL|S1|C13790	1
RL|S1|C13797	1
RL|S1|C13980	1
RL|S1|C14456	1
RL|S1|C14892	1
RL|S1|C15004	1
RL|S1|C15043	1
RL|S1|C15347	1
RL|S1|C15802	1
RL|S1|C16705	1
RL|S1|C16917	1
RL|S1|C17288	1
RL|S1|C17468	1
RL|S1|C18432	1
RL|S1|C18692	1
RL|S1|C18781	1
RL|S1|C6	10
RL|S1|C155	10
RL|S1|C327	10
RL|S1|C340	10
RL|S1|C421	10
RL|S1|C429	10
RL|S1|C469	10
RL|S1|C474	10
RL|S1|C517	10
RL|S1|C536	10
RL|S1|C644	10
RL|S1|C657	10
RL|S1|C666	10
RL|S1|C688	10
RL|S1|C726	10
RL|S1|C925	10
RL|S1|C1007	10
RL|S1|C1032	10
RL|S1|C1119	10
RL|S1|C1134	10
RL|S1|C1149	10
RL|S1|C1150	10
RL|S1|C1168	10
RL|S1|C1191	10
RL|S1|C1333	10
RL|S1|C1453	10
RL|S1|C1464	10
RL|S1|C1546	10
RL|S1|C1898	10
RL|S1|C1904	10
RL|S1|C1979	10
RL|S1|C1985	10
RL|S1|C2059	10
RL|S1|C2118	10
RL|S1|C2281	10
RL|S1|C2310	10
RL|S1|C2376	10
RL|S1|C2625	10
RL|S1|C2676	10
RL|S1|C2879	10
RL|S1|C3066	10
RL|S1|C3146	10
RL|S1|C3322	10
RL|S1|C3349	10
RL|S1|C3411	10
RL|S1|C3443	10
RL|S1|C3468	10
RL|S1|C3511	10
RL|S1|C3661	10
RL|S1|C3672	10
RL|S1|C3753	10
RL|S1|C3820	10
RL|S1|C3826	10
RL|S1|C3914	10
RL|S1|C3915	10
RL|S1|C3941	10
RL|S1|C4121	10
RL|S1|C4155	10
RL|S1|C4158	10
RL|S1|C4233	10
RL|S1|C4279	10
RL|S1|C4294	10
RL|S1|C4433	10
RL|S1|C4459	10
RL|S1|C4581	10
RL|S1|C4593	10
RL|S1|C4595	10
RL|S1|C4649	10
RL|S1|C4681	10
RL|S1|C4809	10
RL|S1|C4881	10
RL|S1|C4941	10
RL|S1|C4953	10
RL|S1|C5038	10
RL|S1|C5133	10
RL|S1|C5192	10
RL|S1|C5213	10
RL|S1|C5228	10
RL|S1|C5236	10
RL|S1|C5291	10
RL|S1|C5314	10
RL|S1|C5335	10
RL|S1|C5393	10
RL|S1|C5398	10
RL|S1|C5460	10
RL|S1|C5541	10
RL|S1|C5652	10
RL|S1|C5685	10
RL|S1|C5806	10
RL|S1|C5908	10
RL|S1|C6057	10
RL|S1|C6125	10
RL|S1|C6173	10
RL|S1|C6271	10
RL|S1|C6319	10
RL|S1|C6336	10
RL|S1|C6426	10
RL|S1|C6599	10
RL|S1|C6657	10
RL|S1|C6667	10
RL|S1|C6765	10
RL|S1|C6776	10
RL|S1|C6856	10
RL|S1|C6948	10
RL|S1|C7094	10
RL|S1|C7113	10
RL|S1|C7286	10
RL|S1|C7291	10
RL|S1|C7436	10
RL|S1|C7451	10
RL|S1|C7518	10
RL|S1|C7585	10
RL|S1|C7691	10
RL|S1|C7735	10
RL|S1|C7803	10
RL|S1|C7890	10
RL|S1|C7934	10
RL|S1|C7994	10
RL|S1|C7997	10
RL|S1|C8044	10
RL|S1|C8164	10
RL|S1|C8203	10
RL|S1|C8338	10
RL|S1|C8426	10
RL|S1|C8644	10
RL|S1|C8812	10
RL|S1|C8945	10
RL|S1|C8971	10
RL|S1|C8997	10
RL|S1|C9093	10
RL|S1|C9299	10
RL|S1|C9359	10
RL|S1|C9407	10
RL|S1|C9422	10
RL|S1|C9520	10
RL|S1|C9573	10
